COMMAND,CPU,MEM,PID,RSS,START,STAT,TIME,TTY,USER,VSZ
init second_stage,0,0.1,1,2440,0.718194444,S,8.10E-05,?,root,72340
[kthreadd],0,0,2,0,0.718194444,S,0,?,root,0
[ksoftirqd/0],0,0,3,0,0.718194444,S,2.31E-05,?,root,0
[kworker/0:0H],0,0,5,0,0.718194444,S<,0,?,root,0
[rcu_preempt],0,0,7,0,0.718194444,S,0.000289352,?,root,0
[rcu_sched],0,0,8,0,0.718194444,S,3.47E-05,?,root,0
[rcu_bh],0,0,9,0,0.718194444,S,0,?,root,0
[migration/0],0,0,10,0,0.718194444,S,0.000115741,?,root,0
[watchdog/0],0,0,11,0,0.718194444,S,0,?,root,0
[watchdog/1],0,0,12,0,0.718194444,S,0,?,root,0
[migration/1],0,0,13,0,0.718194444,S,2.31E-05,?,root,0
[ksoftirqd/1],0,0,14,0,0.718194444,S,0,?,root,0
[kworker/1:0H],0,0,16,0,0.718194444,S<,0,?,root,0
[watchdog/2],0,0,17,0,0.718194444,S,0,?,root,0
[migration/2],0,0,18,0,0.718194444,S,5.79E-05,?,root,0
[ksoftirqd/2],0,0,19,0,0.718194444,S,0,?,root,0
[kworker/2:0H],0,0,21,0,0.718194444,S<,0,?,root,0
[watchdog/3],0,0,22,0,0.718194444,S,0,?,root,0
[migration/3],0,0,23,0,0.718194444,S,6.94E-05,?,root,0
[ksoftirqd/3],0,0,24,0,0.718194444,S,1.16E-05,?,root,0
[kworker/3:0H],0,0,26,0,0.718194444,S<,0,?,root,0
[watchdog/4],0,0,27,0,0.718194444,S,0,?,root,0
[migration/4],0,0,28,0,0.718194444,S,8.10E-05,?,root,0
[ksoftirqd/4],0,0,29,0,0.718194444,S,0,?,root,0
[kworker/4:0H],0,0,31,0,0.718194444,S<,0,?,root,0
[watchdog/5],0,0,32,0,0.718194444,S,0,?,root,0
[migration/5],0,0,33,0,0.718194444,S,0.000115741,?,root,0
[ksoftirqd/5],0,0,34,0,0.718194444,S,0,?,root,0
[kworker/5:0H],0,0,36,0,0.718194444,S<,0,?,root,0
[watchdog/6],0,0,37,0,0.718194444,S,0,?,root,0
[migration/6],0,0,38,0,0.718194444,S,0.000104167,?,root,0
[ksoftirqd/6],0,0,39,0,0.718194444,S,0,?,root,0
[kworker/6:0H],0,0,41,0,0.718194444,S<,0,?,root,0
[watchdog/7],0,0,42,0,0.718194444,S,0,?,root,0
[migration/7],0,0,43,0,0.718194444,S,0.000104167,?,root,0
[ksoftirqd/7],0,0,44,0,0.718194444,S,0,?,root,0
[kworker/7:0],0,0,45,0,0.718194444,S,0,?,root,0
[kworker/7:0H],0,0,46,0,0.718194444,S<,0,?,root,0
[kdevtmpfs],0,0,47,0,0.718194444,S,0,?,root,0
[netns],0,0,48,0,0.718194444,S<,0,?,root,0
[perf],0,0,50,0,0.718194444,S<,0,?,root,0
[exynos_cpu_hotp],0,0,78,0,0.718194444,S<,0,?,root,0
[irq/106-11c4000],0,0,204,0,0.718194444,S,0,?,root,0
[acpm_debug_logg],0,0,205,0,0.718194444,S<,0,?,root,0
[kworker/u16:3],0,0,266,0,0.718194444,S,0.000405093,?,root,0
[kworker/u16:4],0,0,412,0,0.718194444,S,0.000428241,?,root,0
[khungtaskd],0,0,679,0,0.718194444,S,0,?,root,0
[writeback],0,0,680,0,0.718194444,S<,0,?,root,0
[ksmd],0,0,682,0,0.718194444,SN,0,?,root,0
[crypto],0,0,683,0,0.718194444,S<,0,?,root,0
[bioset],0,0,684,0,0.718194444,S<,0,?,root,0
[kblockd],0,0,686,0,0.718194444,S<,0,?,root,0
